number,name,status
1,– PEP Purpose and Guidelines,
201,– Lockstep Iteration,
160,– Python 1.6 Release Schedule,
200,– Python 2.0 Release Schedule,
204,– Range Literals,
205,– Weak References,
103,– Collecting information about git,
203,– Augmented Assignments,
202,– List Comprehensions,
102,– Doing Python Micro Releases,
101,– Doing Python Releases 101,
12,– Sample reStructuredText PEP Template,
13,– Python Language Governance,
100,– Python Unicode Integration,
20,– The Zen of Python,
42,– Feature Requests,
8104,– 2023 Term Steering Council election,
8101,– 2020 Term Steering Council election,
8100,– January 2019 Steering Council election,
8014,– The Commons Governance Model,
8016,– The Steering Council Model,
8013,– The External Council Governance Model,
8012,– The Community Governance Model,
8015,– Organization of the Python community,
8011,– Python Governance Model Lead by Trio of Pythonistas,
8010,– The Technical Leader Governance Model,
8000,– Python Language Governance Proposal Overview,
8102,– 2021 Term Steering Council election,
3333,– Python Web Server Gateway Interface v1.0.1,
8002,– Open Source Governance Survey,
8001,– Python Governance Voting Process,
3155,– Qualified name for classes and functions,
3156,– Asynchronous IO Support Rebooted: the “asyncio” Module,
3151,– Reworking the OS and IO exception hierarchy,
8103,– 2022 Term Steering Council election,
3152,– Cofunctions,
3154,– Pickle protocol version 4,
3153,– Asynchronous IO support,
3150,– Statement local namespaces (aka “given” clause),
3149,– ABI version tagged .so files,
3147,– PYC Repository Directories,
3148,– futures - execute computations asynchronously,
3145,– Asynchronous I/O For subprocess.Popen,
3146,– Merging Unladen Swallow into CPython,
3144,– IP Address Manipulation Library for the Python Standard Library,
3143,– Standard daemon process library,
3142,– Add a “while” clause to generator expressions,
3139,– Cleaning out sys and the “interpreter” module,
3141,– A Type Hierarchy for Numbers,
3138,– String representation in Python 3000,
3140,"– str(container) should call str(item), not repr(item)",
3137,– Immutable Bytes and Mutable Buffer,
3135,– New Super,
3134,– Exception Chaining and Embedded Tracebacks,
3131,– Supporting Non-ASCII Identifiers,
3132,– Extended Iterable Unpacking,
3133,– Introducing Roles,
3130,– Access to Current Module/Class/Function,
3136,– Labeled break and continue,
3129,– Class Decorators,
3128,– BList: A Faster List-like Type,
3127,– Integer Literal Support and Syntax,
3126,– Remove Implicit String Concatenation,
3125,– Remove Backslash Continuation,
3121,– Extension Module Initialization and Finalization,
3120,– Using UTF-8 as the default source encoding,
3123,– Making PyObject_HEAD conform to standard C,
3124,"– Overloading, Generic Functions, Interfaces, and Adaptation",
3122,– Delineation of the main module,
3119,– Introducing Abstract Base Classes,
3118,– Revising the buffer protocol,
3117,– Postfix type declarations,
3112,– Bytes literals in Python 3000,
3114,– Renaming iterator.next() to iterator.__next__(),
3113,– Removal of Tuple Parameter Unpacking,
3116,– New I/O,
3115,– Metaclasses in Python 3000,
3111,– Simple input built-in in Python 3000,
3110,– Catching Exceptions in Python 3000,
3107,– Function Annotations,
3108,– Standard Library Reorganization,
3109,– Raising Exceptions in Python 3000,
3106,"– Revamping dict.keys(), .values() and .items()",
3104,– Access to Names in Outer Scopes,
3105,– Make print a function,
3102,– Keyword-Only Arguments,
3101,– Advanced String Formatting,
3100,– Miscellaneous Python 3.0 Plans,
3103,– A Switch/Case Statement,
3099,– Things that will Not Change in Python 3000,
3002,– Procedure for Backwards-Incompatible Changes,
3003,– Python Language Moratorium,
3001,– Procedure for reviewing and improving standard library modules,
801,– Reserved,
3000,– Python 3000,
719,– Python 3.13 Release Schedule,
754,– IEEE 754 Floating Point Special Values,
713,– Callable Modules,
714,– Rename dist-info-metadata in the Simple API,
721,– Using tarfile.data_filter for source distribution extraction,
715,– Disabling bdist_egg distribution uploads on PyPI,
709,– Inlined comprehensions,
712,– Adding a “converter” parameter to dataclasses.field,
707,– A simplified signature for __exit__ and __aexit__,
706,– Filter for tarfile.extractall,
710,– Recording the provenance of installed packages,
705,– TypedMapping: Type Hints for Mappings with a Fixed Set of Keys,
711,– PyBI: a standard format for distributing Python Binaries,
708,– Extending the Repository API to Mitigate Dependency Confusion Attacks,
704,– Require virtual environments by default for package installers,
703,– Making the Global Interpreter Lock Optional in CPython,
702,– Marking deprecations using the type system,
700,– Additional Fields for the Simple API for Package Indexes,
701,– Syntactic formalization of f-strings,
699,– Remove private dict version field added in PEP 509,
697,– Limited C API for Extending Opaque Types,
698,– Override Decorator for Static Typing,
696,– Type defaults for TypeVarLikes,
