number,name,status
1,– PEP Purpose and Guidelines,
12,– Sample reStructuredText PEP Template,
100,– Python Unicode Integration,
13,– Python Language Governance,
10,– Voting Guidelines,
9,– Sample Plaintext PEP Template,
7,– Style Guide for C Code,
11,– CPython platform support,
20,– The Zen of Python,
42,– Feature Requests,
2,– Procedure for Adding New Modules,
3,– Guidelines for Handling Bug Reports,
8,– Style Guide for Python Code,
4,– Deprecation of Standard Modules,
6,– Bug Fix Releases,
5,– Guidelines for Language Evolution,
8104,– 2023 Term Steering Council election,
8103,– 2022 Term Steering Council election,
8102,– 2021 Term Steering Council election,
8101,– 2020 Term Steering Council election,
8016,– The Steering Council Model,
8014,– The Commons Governance Model,
8015,– Organization of the Python community,
8012,– The Community Governance Model,
8100,– January 2019 Steering Council election,
8013,– The External Council Governance Model,
8010,– The Technical Leader Governance Model,
8011,– Python Governance Model Lead by Trio of Pythonistas,
8002,– Open Source Governance Survey,
8001,– Python Governance Voting Process,
3333,– Python Web Server Gateway Interface v1.0.1,
8000,– Python Language Governance Proposal Overview,
3154,– Pickle protocol version 4,
3155,– Qualified name for classes and functions,
3153,– Asynchronous IO support,
3156,– Asynchronous IO Support Rebooted: the “asyncio” Module,
3152,– Cofunctions,
3148,– futures - execute computations asynchronously,
3150,– Statement local namespaces (aka “given” clause),
3149,– ABI version tagged .so files,
3146,– Merging Unladen Swallow into CPython,
3151,– Reworking the OS and IO exception hierarchy,
3145,– Asynchronous I/O For subprocess.Popen,
3147,– PYC Repository Directories,
3144,– IP Address Manipulation Library for the Python Standard Library,
3143,– Standard daemon process library,
3142,– Add a “while” clause to generator expressions,
3141,– A Type Hierarchy for Numbers,
3139,– Cleaning out sys and the “interpreter” module,
3138,– String representation in Python 3000,
3136,– Labeled break and continue,
3135,– New Super,
3132,– Extended Iterable Unpacking,
3133,– Introducing Roles,
3134,– Exception Chaining and Embedded Tracebacks,
3131,– Supporting Non-ASCII Identifiers,
3130,– Access to Current Module/Class/Function,
3137,– Immutable Bytes and Mutable Buffer,
3140,"– str(container) should call str(item), not repr(item)",
3129,– Class Decorators,
3127,– Integer Literal Support and Syntax,
3128,– BList: A Faster List-like Type,
3126,– Remove Implicit String Concatenation,
3125,– Remove Backslash Continuation,
3123,– Making PyObject_HEAD conform to standard C,
3124,"– Overloading, Generic Functions, Interfaces, and Adaptation",
3122,– Delineation of the main module,
3121,– Extension Module Initialization and Finalization,
3120,– Using UTF-8 as the default source encoding,
3117,– Postfix type declarations,
3116,– New I/O,
3118,– Revising the buffer protocol,
3119,– Introducing Abstract Base Classes,
3115,– Metaclasses in Python 3000,
3111,– Simple input built-in in Python 3000,
3114,– Renaming iterator.next() to iterator.__next__(),
3113,– Removal of Tuple Parameter Unpacking,
3112,– Bytes literals in Python 3000,
3109,– Raising Exceptions in Python 3000,
3110,– Catching Exceptions in Python 3000,
3105,– Make print a function,
3107,– Function Annotations,
3108,– Standard Library Reorganization,
3106,"– Revamping dict.keys(), .values() and .items()",
3102,– Keyword-Only Arguments,
